district_id,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage
01,79.0748329999998,0.0,0.0,66.5411509999998,84.1495940939894
02,68.2868260000003,0.0,0.0,57.1125970000003,83.6363327239723
03,125.680140000001,10.040643,7.98904504721265,109.653219000001,87.2478491828543
04,79.1756699999998,12.622965,15.9429847578176,57.5417339999999,72.6760304017636
05,32.9049499999999,5.368586,16.3154358234855,24.2329279999999,73.6452357472052
06,57.4637260000001,19.28687,33.5635562511209,33.7641900000001,58.7573976668343
07,77.1450760000007,12.446014,16.1332578115548,59.5105640000007,77.1411048969609
08,62.1076430000003,0.0,0.0,49.6823310000003,79.993908318176
09,59.6672020000002,11.285682,18.9143811368932,44.5143540000002,74.6043932142152
10,8.67539000000001,6.81211600000001,78.5223027437383,1.224232,0.0
11,33.238658,0.0,0.0,28.367785,85.3457591458717
12,45.740746,12.188367,26.6466292438694,30.4088959999999,66.4809795625108
