district_id,apartments,gross_rent_per_sqm_below_6_euros,gross_rent_per_sqm_between_6_and_7_euros,gross_rent_per_sqm_between_7_and_8_euros,gross_rent_per_sqm_between_8_and_9_euros,gross_rent_per_sqm_above_9_euros,average_gross_rent_per_sqm
01,149.697331,13.116796,31.2456500000001,44.653121,27.4582520000001,33.2235120000001,7.93744463810957
02,118.739345,8.86610800000001,20.337943,35.3465599999999,29.0531219999999,25.1356119999999,7.97256905643663
03,163.173708,12.72195,47.6090549999999,60.9723899999996,21.282381,20.587932,7.49900560899735
04,131.309814,9.83300699999998,17.490003,40.883778,32.0070990000002,31.0959270000001,8.10845471680174
05,81.9284359999999,7.52759600000001,22.96699,27.0762539999999,15.601926,8.75567000000001,7.47916533977157
06,95.215548,5.532284,13.448222,28.68119,19.56403,27.989822,8.25335897660865
07,128.591589,10.853937,25.188447,43.1122320000002,25.931823,23.50515,7.83253014042126
08,122.177717,12.844365,33.836767,40.7073420000001,22.5022699999999,12.286973,7.42599084002829
09,97.4902870000003,10.055585,27.7820630000001,41.0179510000002,12.900981,5.73370700000001,7.24067374360262
10,98.6752400000001,15.53074,38.94611,28.2103920000001,10.912734,5.075264,6.95272235602122
11,128.609296,8.902986,42.109093,47.28928,21.031564,9.276373,7.35864269979988
12,88.4385280000001,6.135919,15.426533,34.589764,19.557233,12.729079,7.80427657848877
