type_index,type_parent_index,type,apartments,below_300_euros,between_300_and_400_euros,between_400_and_500_euros,between_500_and_600_euros,between_600_and_700_euros,between_700_and_800_euros,more_than_800_euros
0,-1,total,1404.046839,122.884388,346.196255000002,405.636551000002,242.050525000001,129.852178,66.81246,90.614482
1,0,1_apartment,18.213989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2_apartments,19.154479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,between_3_and_6_apartments,238.958424000001,18.831408,52.9925300000002,69.3280600000002,49.2594370000002,21.522848,12.608902,14.415239
4,0,between_7_and_12_apartments,900.330855000004,65.7362680000001,221.643903000002,277.029657000001,152.106945000001,84.9790200000002,41.956763,56.878299
5,0,between_13_and_20_apartments,70.028767,7.477047,15.853287,12.975897,11.240912,10.018221,0.0,7.885875
6,0,more_than_21_apartments,157.360325,27.141472,49.418198,38.853967,24.535944,9.134914,0.0,0.0
7,0,area_below_40sqm,139.3463,80.1282030000002,53.5618310000001,0.0,0.0,0.0,0.0,0.0
8,0,area_between_40_and_60sqm,465.185950000003,38.5613010000001,239.344691000002,151.880917000001,30.357516,0.0,0.0,0.0
9,0,area_between_60_and_80sqm,518.978495000003,0.0,51.298795,234.676624000002,156.713743000001,54.0984720000001,13.891185,0.0
10,0,area_between_80_and_100sqm,182.006797,0.0,0.0,12.438593,49.3267880000001,62.0820430000002,31.750002,24.210815
11,0,area_between_100_and_120sqm,59.145613,0.0,0.0,0.0,0.0,7.757533,17.509639,28.247519
12,0,area_above_120sqm,39.383684,0.0,0.0,0.0,0.0,0.0,0.0,32.893328
13,-1,build_before_1949,530.085633000001,36.475766,122.388456,132.274953,90.2101420000002,56.501462,35.863875,56.370979
14,13,area_below_40sqm,31.659064,18.178113,11.872364,0.0,0.0,0.0,0.0,0.0
15,13,area_between_40_and_60sqm,174.132144000001,15.631348,86.9344450000004,54.9245350000002,13.9833,0.0,0.0,0.0
16,13,area_between_60_and_80sqm,171.962314,0.0,22.478004,69.3928370000002,52.2748740000002,17.412432,5.349998,0.0
17,13,area_between_80_and_100sqm,83.274637,0.0,0.0,5.524891,20.012849,30.599151,14.991889,11.190684
18,13,area_between_100_and_120sqm,36.215957,0.0,0.0,0.0,0.0,0.0,11.986717,15.796953
19,13,area_above_120sqm,32.841517,0.0,0.0,0.0,0.0,0.0,0.0,26.481642
20,-1,build_after_1949,873.961206000004,86.4086220000001,223.807799000001,273.361598000002,151.840383000001,73.350716,30.948585,34.243503
21,20,area_below_40sqm,107.687236,61.9500900000001,41.689467,0.0,0.0,0.0,0.0,0.0
22,20,area_between_40_and_60sqm,291.053806000002,22.929953,152.410246000001,96.9563820000004,16.374216,0.0,0.0,0.0
23,20,area_between_60_and_80sqm,347.016181000002,0.0,28.820791,165.283787000002,104.438869000001,36.68604,8.541187,0.0
24,20,area_between_80_and_100sqm,98.73216,0.0,0.0,6.913702,29.313939,31.482892,16.758113,13.020131
25,20,area_between_100_and_120sqm,22.929656,0.0,0.0,0.0,0.0,0.0,5.522922,12.450566
26,20,area_above_120sqm,6.54216699999999,0.0,0.0,0.0,0.0,0.0,0.0,6.41168599999999
