district_id,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage
01,181.449528000001,8.78290699999999,4.8404132525492,159.453779000001,87.877759042724
02,142.790414000001,5.507763,3.85723582256717,127.273097000001,89.1328020100846
03,204.508611,22.097898,10.8053631052239,173.540385000001,84.8572508274481
04,175.064810999999,25.3481519999999,14.4792958991628,135.036188999999,77.134969745576
05,115.883202,22.02796,19.008760217033,83.1690280000003,71.769701358442
06,150.172252,42.445978,28.264860807974,96.8763960000004,64.5101839453005
07,176.301712000001,31.5295559999999,17.8838626365691,131.402948000001,74.5329960267206
08,159.087467000001,18.142308,11.4039831937231,127.172025000001,79.9384309764642
09,130.877275000001,23.36717,17.8542607950845,99.7862350000005,76.2441264153766
10,127.032390000001,20.553798,16.1799663849511,100.908006000001,79.4348638170156
11,144.216197000002,6.335799,4.39326450967217,131.315936000002,91.054915281118
12,127.169096,29.26102,23.0095368453354,89.9919690000005,70.7655962263034
