type_index,type_parent_index,type,apartments,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
0,-1,total,1711.32630200001,682.337668000005,511.766589000001,341.581985000001,168.319916,0.0,6.30411
1,0,until_2018,353.776154,60.8912250000001,185.345748999999,80.1603530000002,26.493094,0.0,0.0
2,0,between_1919_and_1948,313.447891000001,93.7820130000002,136.612133000001,47.3113560000001,34.977865,0.0,0.0
3,0,between_1949_and_1978,756.904008000003,336.116846000001,140.049475000001,197.507903000001,81.1013350000003,0.0,0.0
4,0,between_1979_and_1990,235.015813000004,182.525407000004,15.697526,14.487225,21.175986,0.0,0.0
5,0,between_1991_and_2000,36.767706,8.182659,22.916618,0.0,0.0,0.0,0.0
6,0,2001_and_later,15.41473,0.0,11.145088,0.0,0.0,0.0,0.0
7,-1,condominiums,255.400309,27.349307,112.460653,58.211489,53.631953,0.0,0.0
8,7,until_2018,43.515252,5.051175,25.650795,7.120442,5.566477,0.0,0.0
9,7,between_1919_and_1948,61.154812,0.0,34.376254,10.384767,11.543918,0.0,0.0
10,7,between_1949_and_1978,91.690296,11.726697,19.457125,37.41553,22.579008,0.0,0.0
11,7,between_1979_and_1990,26.798037,0.0,7.930249,0.0,11.136191,0.0,0.0
12,7,between_1991_and_2000,17.973626,0.0,14.276971,0.0,0.0,0.0,0.0
13,7,2001_and_later,14.268286,0.0,10.769259,0.0,0.0,0.0,0.0
14,-1,rented_apartments,1455.92599300001,654.988361000004,399.305936000001,283.370496000001,114.687963,0.0,0.0
15,14,until_2018,310.260902,55.84005,159.694954,73.0399110000002,20.926617,0.0,0.0
16,14,between_1919_and_1948,252.293079,89.1667040000003,102.235879,36.926589,23.433947,0.0,0.0
17,14,between_1949_and_1978,665.213712000002,324.390149000001,120.592350000001,160.092373000001,58.5223270000003,0.0,0.0
18,14,between_1979_and_1990,208.217776000004,177.541861000004,7.767277,12.317177,10.039795,0.0,0.0
19,14,between_1991_and_2000,18.79408,7.923234,8.639647,0.0,0.0,0.0,0.0
20,14,2001_and_later,0.0,0.0,0.0,0.0,0.0,0.0,0.0
