type_index,type_parent_index,type,apartments,collective_heating,district_heating,gas,electricity,heating_oil,briquettes_lignite_coal_coke_hard_coal,wood_or_other_renewable_energies
0,-1,total,1711.32630200001,1673.05117700001,715.667277000005,568.385424,10.858784,371.858218000001,0.0,5.65632
1,0,until_2018,353.776154,334.994842,67.5172829999999,212.031847999999,0.0,51.8853230000003,0.0,0.0
2,0,between_1919_and_1948,313.447891000001,306.417775000001,96.2883520000002,147.695855,0.0,58.9486360000003,0.0,0.0
3,0,between_1949_and_1978,756.904008000002,746.536684000002,359.689495000001,158.301677,0.0,222.443467,0.0,0.0
4,0,between_1979_and_1990,235.015813000004,233.244169000004,183.149970000004,16.123896,0.0,32.53795,0.0,0.0
5,0,between_1991_and_2000,36.767706,36.650905,8.182659,22.910263,0.0,5.012019,0.0,0.0
6,0,2001_and_later,15.41473,15.206802,0.0,11.321885,0.0,0.0,0.0,0.0
7,0,area_below_40sqm,142.287685,137.324822,74.2936380000001,28.233706,0.0,33.9983099999999,0.0,0.0
8,0,area_between_40_and_60sqm,492.751463000002,480.275885000002,235.213666000002,153.961166,0.0,87.1322410000002,0.0,0.0
9,0,area_between_60_and_80sqm,589.749193000003,579.185288000003,278.433703000003,174.88847,0.0,122.301232,0.0,0.0
10,0,area_between_80_and_100sqm,237.290520000001,232.483823000001,91.0401110000005,87.8256290000002,0.0,49.6645240000001,0.0,0.0
11,0,area_between_100_and_120sqm,117.364439,114.629201,24.629409,54.674061,0.0,33.896189,0.0,0.0
12,0,area_above_120sqm,131.883002,129.152158,12.05675,68.802392,0.0,44.865722,0.0,0.0
13,-1,condominiums,255.400309,249.630706,31.128335,117.992791,0.0,94.475493,0.0,0.0
14,13,until_2018,43.515252,42.738738,6.068985,29.069733,0.0,7.528806,0.0,0.0
15,13,between_1919_and_1948,61.154812,59.473364,0.0,36.020444,0.0,16.89824,0.0,0.0
16,13,between_1949_and_1978,91.690296,89.827812,14.235189,20.400998,0.0,54.22083,0.0,0.0
17,13,between_1979_and_1990,26.798037,25.673609,0.0,7.275549,0.0,12.553893,0.0,0.0
18,13,between_1991_and_2000,17.973626,17.856825,0.0,14.280011,0.0,0.0,0.0,0.0
19,13,2001_and_later,14.268286,14.060358,0.0,10.946056,0.0,0.0,0.0,0.0
20,13,area_below_40sqm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,13,area_between_40_and_60sqm,18.416817,17.64111,0.0,0.0,0.0,7.808231,0.0,0.0
22,13,area_between_60_and_80sqm,49.686667,48.698027,11.04747,17.405363,0.0,19.695054,0.0,0.0
23,13,area_between_80_and_100sqm,44.486586,43.511376,6.244708,21.20799,0.0,15.272114,0.0,0.0
24,13,area_between_100_and_120sqm,53.46786,52.058536,5.37772,26.035847,0.0,19.235856,0.0,0.0
25,13,area_above_120sqm,87.1778049999999,85.5570829999999,0.0,48.0901299999999,0.0,31.062603,0.0,0.0
26,-1,rented_apartments,1455.92599300001,1423.42047100001,684.538942000004,450.392633000001,8.587366,277.382725000001,0.0,0.0
27,26,until_2018,310.260902,292.256104,61.448298,182.962114999999,0.0,44.3565170000002,0.0,0.0
28,26,between_1919_and_1948,252.293079000001,246.944411000001,91.4203170000003,111.675411,0.0,42.0503960000001,0.0,0.0
29,26,between_1949_and_1978,665.213712000002,656.708872000002,345.454306,137.900679000001,0.0,168.222637000001,0.0,0.0
30,26,between_1979_and_1990,208.217776000004,207.570560000004,178.166424000004,8.848347,0.0,19.984057,0.0,0.0
31,26,between_1991_and_2000,18.79408,18.79408,7.923234,8.630252,0.0,0.0,0.0,0.0
32,26,2001_and_later,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,26,area_below_40sqm,140.123111,135.160248,73.7861230000001,27.978282,0.0,32.596675,0.0,0.0
34,26,area_between_40_and_60sqm,474.334646000002,462.634775000003,230.887043000002,148.963129,0.0,79.3240100000001,0.0,0.0
35,26,area_between_60_and_80sqm,540.062526000004,530.487261000004,267.386233000003,157.483107,0.0,102.606178,0.0,0.0
36,26,area_between_80_and_100sqm,192.803934,188.972447,84.7954030000004,66.6176390000001,0.0,34.39241,0.0,0.0
37,26,area_between_100_and_120sqm,63.896579,62.570665,19.251689,28.638214,0.0,14.660333,0.0,0.0
38,26,area_above_120sqm,44.705197,43.595075,8.43245099999999,20.712262,0.0,13.803119,0.0,0.0
