type_index,type_parent_index,type,apartments,below_40sqm,between_40_and_60sqm,between_60_and_80sqm,between_80_and_100sqm,between_100_and_120sqm,more_than_120sqm
0,-1,apartments,1711.326302,142.287685,492.751463000001,589.749193000002,237.290520000001,117.364439,131.883002
1,0,until_2018,353.776154000001,20.100923,78.9155610000002,96.8707090000003,71.2156820000002,37.422321,49.2509580000002
2,0,between_1919_and_1948,313.447891000001,11.931891,106.151573,103.041658,39.458182,23.38887,29.475717
3,0,between_1949_and_1978,756.904008000002,84.3303990000003,249.452507,291.979527000001,83.5030880000003,27.611534,20.026953
4,0,between_1979_and_1990,235.015813,24.425722,54.1800819999998,88.9243180000003,35.202459,18.442252,13.84098
5,0,between_1991_and_2000,36.767706,0.0,0.0,8.386542,7.070099,7.03620000000001,9.221962
6,0,2001_and_later,15.41473,0.0,0.0,0.0,0.0,0.0,10.066432
7,-1,condominiums,255.400309,0.0,18.416817,49.686667,44.486586,53.46786,87.177805
8,7,until_2018,43.515252,0.0,0.0,6.258384,8.54641799999999,7.904692,18.007659
9,7,between_1919_and_1948,61.154812,0.0,0.0,10.525257,11.546465,13.299517,22.695633
10,7,between_1949_and_1978,91.690296,0.0,11.573989,27.840024,17.643754,15.111923,17.7305
11,7,between_1979_and_1990,26.798037,0.0,0.0,0.0,0.0,8.510625,10.157859
12,7,between_1991_and_2000,17.973626,0.0,0.0,0.0,0.0,5.35063700000001,8.614429
13,7,2001_and_later,14.268286,0.0,0.0,0.0,0.0,0.0,9.971725
14,-1,rented_apartments,1455.925993,140.123111,474.334646000001,540.062526000003,192.803934,63.896579,44.705197
15,14,until_2018,310.260902000001,19.966542,76.2518430000001,90.6123250000003,62.6692640000001,29.517629,31.243299
16,14,between_1919_and_1948,252.293079000001,11.809484,103.18604,92.5164010000004,27.911717,10.089353,6.780084
17,14,between_1949_and_1978,665.213712000003,82.5402930000003,237.878518,264.139503000001,65.8593340000003,12.499611,0.0
18,14,between_1979_and_1990,208.217776,24.308042,53.5334289999998,85.4670400000003,31.2945170000001,9.931627,0.0
19,14,between_1991_and_2000,18.79408,0.0,0.0,6.923348,0.0,0.0,0.0
20,14,2001_and_later,0.0,0.0,0.0,0.0,0.0,0.0,0.0
