district_id,apartments,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
01,159.453779000003,1069.81141670002,67.0922585472245,1.91253789601312,35.0802243903691
02,127.273097000001,840.177464700003,66.0137518850507,1.8847427198224,35.0253385731455
03,173.540385000003,1102.46121180002,63.5276458445105,1.66890860591326,38.0653833405976
04,135.036188999998,939.215166299986,69.5528489996115,1.64647354643576,42.2435265663256
05,83.1690280000008,506.411941400005,60.8894865766617,1.65930766919628,36.6957181642841
06,96.8763960000004,668.100485000003,68.9642175582172,1.76372254806011,39.1015115353999
07,131.402947999999,926.765101599992,70.5284862863199,1.84361641566824,38.2555100328482
08,127.172025000002,826.226329500008,64.9691887425712,1.90516827108792,34.1015487862767
09,99.7862350000006,620.375876000004,62.1704863401249,1.66128739099135,37.4230772335095
10,100.908006000001,633.725599600004,62.8023112061099,1.78807322780712,35.1228966629797
11,131.315936000004,820.573658900025,62.4885055002007,1.75055119738095,35.6964741126633
12,89.9919689999997,588.465676199996,65.3909101822184,1.81748413572327,35.9788065804471
