id,apartments,living_area_below_40sqm,living_area_between_40_and_60sqm,living_area_between_60_and_80sqm,living_area_between_80_and_100sqm,living_area_between_100_and_120sqm,living_area_above_120sqm
01,168.236686,16.280752,50.7086699999999,59.6135409999998,23.9486740000001,9.32705599999999,8.35799299999999
02,132.78086,14.596195,40.008549,44.6026650000001,22.7001829999999,6.22921900000001,/
03,195.638282999999,13.240656,70.0846559999998,64.9838699999996,21.213675,11.594178,14.521248
04,160.384341,17.835813,44.3546549999999,47.4360239999999,22.460097,10.522065,17.775687
05,105.196988,9.38937400000001,30.9175019999999,37.734852,14.045408,6.964654,6.145198
06,139.322374,8.73467199999999,27.873086,49.8816280000002,19.272202,14.26027,19.300516
07,162.932504000001,11.160887,39.3786270000001,56.3335910000006,23.6347659999999,15.786249,16.638384
08,145.314333000001,11.623582,38.6510610000001,56.2808290000005,22.179609,7.92864499999999,8.650607
09,123.153405,5.54479600000001,47.1749840000002,36.9416170000001,13.652097,9.557664,10.282247
10,121.461804,12.48208,29.8150900000001,43.4728099999998,17.997822,9.11707000000001,8.57693200000001
11,137.651735,14.571973,43.743804,55.52688,16.423964,/,/
12,119.252989,6.826905,30.0407789999999,36.940886,19.762023,11.184647,14.497749
