district_id,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage
01,186.759635000004,10.241435,5.48375188246635,158.870364000003,85.0667565290538
02,147.806407999998,12.709278,8.59859743022791,120.555883999998,81.5633676721243
03,211.448965000009,33.5946239999999,15.8878167126514,166.155975000004,78.5797059824798
04,177.091362999995,27.0260829999999,15.26109604792,134.299788999997,75.8364421194277
05,115.367401999998,19.569778,16.9630048529656,88.8233849999991,76.9917528349999
06,154.961626999998,42.8968529999999,27.682242262467,101.032033999998,65.1980983653455
07,176.701575999998,33.0009989999999,18.6761203533353,133.390736000002,75.4892735082359
08,161.616964000001,23.69738,14.662681078454,125.243893000003,77.4942740540542
09,136.071226,24.320077,17.8730490750484,103.091034999999,75.7625532087138
10,131.951022000002,28.8766779999999,21.8843913160442,99.3305280000009,75.2783316827963
11,149.822085999998,13.987138,9.33583183456693,130.934326999996,87.3932078345233
12,127.418536000002,35.044375,27.503357125371,84.4264150000012,66.2591312460222
