district_id,apartments,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
01,10.241435,97.6599198000002,95.3576523211835,2.0106399152072,47.4265190897481
02,12.709278,124.1387316,97.6756756756757,2.2972972972973,42.5176470588235
03,33.5946239999999,387.309770699999,115.289211363104,2.48984129127327,46.3038394323304
04,27.0260829999999,288.405650199998,106.713817980948,1.89251550067392,56.3872887397474
05,19.569778,211.9074437,108.283008473576,2.21032297862551,48.9896768575023
06,42.8968529999999,510.724732899998,119.058788042097,2.18249229145084,54.5517564980498
07,33.0009989999999,327.169598299999,99.1393012981213,2.03014532984289,48.8335981866842
08,23.69738,241.6592897,101.977218451998,2.16979012025802,46.9986555381085
09,24.320077,269.9441118,110.996405068948,2.39538781065537,46.3375510951521
10,28.8766779999999,317.352318799999,109.899178430427,2.32706861225519,47.226445258923
11,13.987138,148.4092206,106.104065463571,2.22643846082022,47.6564105995915
12,35.044375,378.722362699999,108.069372816608,2.20096486240659,49.1009078166026
