district_id,apartments,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
01,169.111799000004,1139.42800660002,67.3772033257124,1.87177339412018,35.9964531696865
02,133.265161999998,945.016761399985,70.9125136095207,1.87463942001586,37.8272817974353
03,199.750599000008,1521.39218060006,76.1645866503761,1.927572883023,39.5132071638857
04,161.325871999996,1250.60706179997,77.5205518058504,1.75844949407743,44.0846052541997
05,108.393162999998,807.871792499987,74.5316189822785,1.97888590999047,37.663423952843
06,143.928886999998,1247.69865589998,86.6885502908114,1.91316736160129,45.3115352220177
07,166.391735,1281.4875727,77.0162996797887,1.90209527534526,40.4902428800835
08,148.941273000002,1077.16684290001,72.3215816008233,2.02587883077916,35.6988683143543
09,127.411111999999,956.389500499994,75.0632723855358,1.89453138121893,39.6210235046307
10,128.207206000002,955.037596300013,74.4917252389074,2.01176226397134,37.0280955026248
11,144.921464999997,973.337541799984,67.1631039473691,1.83253262724056,36.6504273642887
12,119.470790000002,947.233526200014,79.2857840983557,1.99257217601055,39.7906710998538
