district_id,apartments,single_family_houses,single_family_houses_detached,single_family_houses_semi_detached,single_family_houses_terraced,multi_family_houses,multi_family_houses_detached,multi_family_houses_terraced
01,169.111799000004,0,0,0,0,169.004388000004,5.121496,163.882892000003
02,133.265161999998,0,0,0,0,133.265161999998,0.0,130.517209999998
03,199.750599000008,20.111116,15.291313,0,0,179.639483000005,16.7634369999999,162.876046000003
04,161.325871999996,0,0,0,0,157.493305999996,8.80031000000001,148.692995999996
05,108.393162999998,17.668047,6.101889,0,0,90.725115999999,0.0,85.9704979999992
06,143.928886999998,24.944611,11.022257,0,9.65329800000001,118.984275999998,23.3267000000001,95.6575759999983
07,166.391735,13.49271,6.216146,0,0,152.899025,9.43164099999999,143.467384000001
08,148.941273000002,18.825607,11.337644,0,0,130.115666000003,6.132526,123.983140000003
09,127.411111999999,22.065052,15.644353,0,0,105.346059999999,14.631096,90.7149639999994
10,128.207206000002,26.878009,19.168378,5.883644,0,101.329197000001,6.088555,95.2406420000008
11,144.921464999997,8.340405,5.232332,0,0,136.581059999997,6.48788,130.093179999996
12,119.470790000002,25.101242,15.00331,6.986436,0,94.3695480000016,12.246192,82.1233560000012
