district_id,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage
01,99.4862270000008,0.0,0.0,88.1551120000004,88.6103681467382
02,58.6229759999995,0.0,0.0,51.2951039999997,87.5000000000002
03,92.7018139999994,21.046966,22.7039419099179,68.4641859999995,73.8542031119261
04,79.7505059999996,13.196139,16.5467777721687,61.2969540000003,76.8608966568822
05,82.5440809999994,14.558298,17.6369981028684,63.1426380000003,76.4956581199333
06,98.3444839999985,26.657778,27.1065309570392,65.6562899999992,66.7615379424841
07,92.6137100000015,20.153086,21.7603700359263,67.523542000001,72.9087971964409
08,92.505615000001,15.7805840000001,17.0590552800496,72.0936310000001,77.9343297160927
09,81.3390239999995,15.266722,18.7692466041886,61.4262139999997,75.5187497700981
10,120.914384000002,19.653024,16.2536692077923,98.2659980000009,81.2690721725876
11,116.619223999997,10.28075,8.81565632781117,102.883134999998,88.2214196520467
12,92.7954210000011,26.228476,28.2648386281901,60.3668040000006,65.0536452655351
