type_index,type_parent_index,type,apartments,condominium,condominium_percentage,rented_apartments,rented_apartments_percentage
0,1,inhabited_apartments,1751.11906299981,304.964698000009,17.4154176288607,1446.1543649999,82.5845823711449
1,0,build_before_1990,1550.75339599986,233.189277000003,15.0371604925394,1317.56411899993,84.9628395074656
2,0,build_after_1991,199.704759000003,71.6680099999997,35.8869815415858,128.036748999999,64.1130184584121
3,0,collective_heating,1725.61418199982,298.155701000009,17.2782365902021,1427.4584809999,82.7217634098034
4,0,district_heating,756.563410999996,54.654362,7.22402923606363,701.909048999995,92.7759707639363
5,0,central_heating,711.090034999996,181.446518000002,25.5166728640773,529.643517000006,74.4833271359243
6,0,floor_heating,258.722989000003,62.0548209999998,23.9850433236913,196.668168000001,76.014956676308
7,0,single_or_multi_room_ovens,29.48374,7.136157,24.2037034650285,22.347583,75.7962965349715
8,0,area_below_40sqm,139.270882,0.0,0.0,135.6836,97.4242411992479
9,0,area_between_40_and_60sqm,457.844608,17.836722,3.89580256889254,440.007885999999,96.1041974311073
10,0,area_between_60_and_80sqm,547.097501999999,50.8735400000001,9.29880685143399,496.223961999997,90.7011931485657
11,0,area_between_80_and_100sqm,297.498612000002,65.6156149999998,22.0557718097856,231.882997000001,77.9442281902139
12,0,area_between_100_and_120sqm,141.689177,55.1996239999998,38.9582501421402,86.4895529999999,61.0417498578595
13,0,area_above_120sqm,167.718282000002,111.851914999999,66.6903534106069,55.866367,33.3096465893917
14,0,with_1_apartment,160.257212000003,143.608507000001,89.6112600536182,16.6487050000001,10.3887399463805
15,14,build_before_1990,114.177892999999,102.255271999999,89.5578551269991,11.922621,10.442144873001
16,14,build_after_1991,45.8644969999998,41.2458239999998,89.9297423887588,0.0,0.0
17,14,collective_heating,155.745950000002,139.741711000001,89.7241379310334,16.0042390000001,10.2758620689654
18,14,district_heating,7.51877,6.229838,82.8571428571429,0.0,0.0
19,14,central_heating,101.933038999999,91.7289939999994,89.9894625922023,10.204045,10.0105374077978
20,14,floor_heating,46.2941409999998,41.7828789999998,90.2552204176335,0.0,0.0
21,14,single_or_multi_room_ovens,0.0,0.0,0.0,0.0,0.0
22,14,area_below_40sqm,0.0,0.0,0.0,0.0,0.0
23,14,area_between_40_and_60sqm,0.0,0.0,0.0,0.0,0.0
24,14,area_between_60_and_80sqm,9.022524,6.981715,77.3809523809523,0.0,0.0
25,14,area_between_80_and_100sqm,29.4306139999999,26.208284,89.051094890511,0.0,0.0
26,14,area_between_100_and_120sqm,37.8086719999999,33.5122319999999,88.6363636363637,0.0,0.0
27,14,area_above_120sqm,81.9545929999995,75.4025219999995,92.0052424639581,6.552071,7.99475753604199
28,0,with_2_apartments,31.0924120000001,19.23778,61.8729096989964,11.854632,38.1270903010032
29,28,build_before_1990,24.95712,15.07826,60.4166666666664,9.87886,39.5833333333332
30,28,build_after_1991,6.13529200000001,0.0,0.0,0.0,0.0
31,28,collective_heating,30.2605080000001,18.71784,61.8556701030925,11.542668,38.144329896907
32,28,district_heating,0.0,0.0,0.0,0.0,0.0
33,28,central_heating,20.589624,13.934392,67.6767676767675,6.65523200000001,32.3232323232324
34,28,floor_heating,8.63100400000001,0.0,0.0,0.0,0.0
35,28,single_or_multi_room_ovens,0.0,0.0,0.0,0.0,0.0
36,28,area_below_40sqm,0.0,0.0,0.0,0.0,0.0
37,28,area_between_40_and_60sqm,0.0,0.0,0.0,0.0,0.0
38,28,area_between_60_and_80sqm,5.61535200000001,0.0,0.0,0.0,0.0
39,28,area_between_80_and_100sqm,8.00707600000001,0.0,0.0,0.0,0.0
40,28,area_between_100_and_120sqm,5.92731600000001,0.0,0.0,0.0,0.0
41,28,area_above_120sqm,9.462908,7.27916000000001,76.923076923077,0.0,0.0
42,0,with_3_to_9_apartments,447.615824,57.7571330000001,12.903282212829,389.858690999999,87.0967177871708
