type_index,type_parent_index,type,apartments,below_300_euros,between_300_and_400_euros,between_400_and_500_euros,between_500_and_600_euros,between_600_and_700_euros,between_700_and_800_euros,more_than_800_euros
0,-1,total,1390.48671099991,79.51886,242.761408000001,332.210806,257.113636000002,170.360755,108.132353,200.388893
1,0,1_apartment,15.5745950000001,0.0,0.0,0.0,0.0,0.0,0.0,9.77440100000001
2,0,2_apartments,10.502788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,between_3_and_6_apartments,116.301517,0.0,17.00941,23.096593,20.272253,15.430674,11.681412,24.342665
4,0,between_7_and_12_apartments,260.172416000002,9.770004,41.370785,72.1646529999998,53.7354319999998,31.208686,18.362033,33.5608229999999
5,0,between_13_and_20_apartments,628.515570000002,29.028346,103.609064,143.525824000001,114.418298,80.6512899999997,56.7440099999999,100.538738
6,0,more_than_21_apartments,359.419824999998,33.7186349999999,78.768993,90.8972169999997,66.9998839999999,40.6373049999999,19.241177,29.156614
7,0,private_individuals,351.254553000005,17.40091,47.31312,60.366942,57.8577769999999,44.6246229999999,34.7574189999999,88.9337619999998
8,0,private_company,511.479390000002,27.109728,82.5561929999999,118.117523,97.070109,68.6931239999999,41.335512,76.5972009999998
9,0,public_institution,127.782427,9.73461000000001,22.24099,39.0415109999999,26.8505359999999,14.521022,7.259848,8.13391
10,0,housing_building_cooperative,399.970340999996,25.2736119999999,90.6511049999997,114.68483,75.3352139999998,42.5219859999999,24.779574,26.72402
11,0,area_below_40sqm,134.263281,45.0679929999999,63.1303419999999,16.750323,0.0,0.0,0.0,0.0
12,0,area_between_40_and_60sqm,431.758832,23.621394,138.369887,165.549781,65.1654789999999,23.440058,7.981402,7.630831
13,-1,area_between_60_and_80sqm,476.580533999996,7.051117,35.2296529999999,135.281401,146.398189,80.5177089999998,39.258288,32.844177
14,13,area_between_80_and_100sqm,218.287825,0.0,0.0,11.675951,34.3190719999999,52.0130449999999,45.2433309999999,68.6857789999999
15,13,area_between_100_and_120sqm,78.8735499999998,0.0,0.0,0.0,0.0,9.578709,11.415947,48.6597359999999
16,13,area_above_120sqm,50.7226889999999,0.0,0.0,0.0,0.0,0.0,0.0,41.808806
17,13,build_before_1949,548.674894000007,27.852797,94.3936979999998,116.807132,97.5566879999997,69.8501349999999,42.7201589999999,99.4942849999997
18,13,area_below_40sqm,38.0894879999999,10.026833,17.722146,7.241428,0.0,0.0,0.0,0.0
19,13,area_between_40_and_60sqm,178.431351000001,12.2402,55.875251,63.1550049999999,30.246335,10.476793,0.0,0.0
20,-1,area_between_60_and_80sqm,161.260676,0.0,15.752423,38.017126,46.548905,31.235305,12.80568,13.492124
21,20,area_between_80_and_100sqm,87.3724029999997,0.0,0.0,5.990722,14.044358,19.646105,15.448945,27.623669
22,20,area_between_100_and_120sqm,47.7158579999999,0.0,0.0,0.0,0.0,6.82925,7.71184400000001,26.0511869999999
23,20,area_above_120sqm,35.805118,0.0,0.0,0.0,0.0,0.0,0.0,29.725813
24,20,build_after_1949,841.258320000001,51.4441539999999,148.36771,215.178405000002,159.556948,100.51062,65.4121939999999,100.788289
25,20,area_below_40sqm,96.0592950000001,34.9266619999999,45.408196,9.508895,0.0,0.0,0.0,0.0
26,20,area_between_40_and_60sqm,253.213735000002,11.381194,82.4946359999997,102.28103,34.919144,12.963265,0.0,5.245669
27,-1,area_between_60_and_80sqm,315.100924,0.0,19.47723,97.1527519999998,99.8492839999999,49.2824039999999,26.452608,19.352053
28,-1,area_between_80_and_100sqm,130.915422,0.0,0.0,5.685229,20.274714,32.36694,29.794386,41.06211
29,-1,area_between_100_and_120sqm,31.157692,0.0,0.0,0.0,0.0,0.0,0.0,22.608549
30,-1,area_above_120sqm,14.811252,0.0,0.0,0.0,0.0,0.0,0.0,11.976674
