type_index,type_parent_index,type,apartments,collective_heating,district_heating,central_heating,floor_heating,single_or_more_space_ovens
0,-1,total,1751.1190629998,1725.6141819998,756.563411,711.090034999997,258.722989000002,29.48374
1,0,1_apartment,160.257212000003,155.745950000002,7.51877,101.933038999999,46.2941409999998,0.0
2,0,2_apartments,31.0924120000001,30.2605080000001,0.0,20.589624,8.63100400000001,0.0
3,0,between_3_and_6_apartments,148.094149,146.789499999999,36.095371,81.719723,28.9744059999999,0.0
4,0,between_7_and_9_apartments,299.521675,292.760037,105.947353999999,126.780275,60.13977,7.421363
5,0,between_10_and_20_apartments,721.754616999998,714.023316999999,325.862440000001,283.638865000002,105.176903,10.279702
6,0,more_than_21_apartments,390.398997999999,386.034869999999,280.099596000002,96.4285090000001,9.506765,0.0
7,0,condominiums,304.96469800001,298.155701000009,54.6543619999999,181.446518000002,62.0548209999998,7.136157
8,7,1_apartment,143.608507000001,139.741711000001,6.229838,91.7289939999994,41.7828789999998,0.0
9,7,2_apartments,19.23778,18.71784,0.0,13.934392,0.0,0.0
10,7,between_3_and_6_apartments,28.45473,28.131308,0.0,18.254095,0.0,0.0
11,7,between_7_and_9_apartments,29.302403,28.311327,6.31997,18.490529,0.0,0.0
12,7,between_10_and_20_apartments,63.5870279999999,62.9220879999999,29.2221419999999,26.619291,7.080655,0.0
13,-1,more_than_21_apartments,20.77425,20.331427,7.473179,12.419217,0.0,0.0
14,0,rented_apartments,1446.15436499989,1427.4584809999,701.909048999997,529.643517000007,196.668168000001,22.347583
15,14,1_apartment,16.6487050000001,16.0042390000001,0.0,10.204045,0.0,0.0
16,14,2_apartments,11.854632,11.542668,0.0,6.65523200000001,0.0,0.0
17,14,between_3_and_6_apartments,119.639419,118.658192,31.1020899999999,63.465628,24.090474,0.0
18,14,between_7_and_9_apartments,270.219272000001,264.448710000002,99.6273839999994,108.289746,56.638942,6.430287
19,14,between_10_and_20_apartments,658.167588999999,651.101229,296.640298000001,257.019574000001,98.0962479999999,9.508443
20,14,more_than_21_apartments,369.624747999997,365.703442999997,272.626417000002,84.009292,9.067734,0.0
