id,total,gross_rent_below_300_euros,gross_rent_between_300_and_400_euros,gross_rent_between_400_and_500_euros,gross_rent_between_500_and_600_euros,gross_rent_above_600_euros,gross_rent_average
01,149.063244000003,9.48021600000001,28.9854880000002,27.9997960000002,26.4792240000001,20.4859840000001,35.6325360000001
02,112.197529999998,7.90036200000001,18.663174,25.1895600000001,18.31968,13.385756,28.7389980000001
03,157.117768000003,7.865128,24.1308429999999,35.6098719999998,29.9796269999998,20.6280699999999,38.9042279999998
04,129.790584999997,/,17.929454,26.6190279999999,21.5763879999999,13.42025,45.628899
05,87.9159449999992,/,16.214471,21.305956,16.895051,12.674065,18.242415
06,98.1182199999983,/,13.783808,19.1731810000001,17.411033,14.306112,29.4023210000001
07,128.885908000003,6.268587,21.442029,25.8402589999999,23.541884,17.930813,33.862336
08,119.803601000003,8.160949,19.330485,32.3038639999999,23.64941,15.677432,20.681461
09,101.189507999999,5.484201,18.774366,25.95041,19.412203,12.548767,19.019561
10,97.3539430000008,8.776065,23.4040709999999,34.0021789999997,17.382518,8.475748,5.313362
11,126.799955999996,10.946536,26.945939,39.151,24.600302,11.63344,13.522739
12,82.2505030000012,/,13.15728,19.065701,17.866316,9.194318,19.5723899999999
