district_name,total,inhabited_by_owner,rented_out_owner_is_private_person,rented_out_owner_is_private_organization,rented_out_owner_is_public_institution,rented_out_owner_is_housing_cooperative
Mitte,169.111799000004,10.241435,44.4539639999999,71.7009439999997,7.62776,35.0876960000001
Friedrichshain-Kreuzberg,133.265161999998,12.709278,36.753858,61.0274339999995,5.38140600000001,17.393186
Pankow,199.750599000008,33.5946239999999,47.5075409999997,77.7145269999995,8.931888,32.0020189999998
Charlottenburg-Wilmersdorf,161.325871999996,27.0260829999999,58.1801310000003,39.2944919999999,7.94478800000001,28.8803779999998
Spandau,108.393162999998,19.569778,17.518048,30.5066510000001,6.23263100000001,34.5660550000001
Steglitz-Zehlendorf,143.928886999998,42.8968529999999,36.662312,23.3257800000001,6.52900499999999,34.5149370000001
Tempelhof-Schöneberg,166.391735,33.0009989999999,42.8555190000002,63.3660630000009,/,22.438251
Neukölln,148.941273000002,23.69738,28.8223829999999,50.6008769999998,7.72839299999999,38.0922399999999
Treptow-Köpenick,127.411111999999,24.320077,25.546638,26.171434,8.85633,42.5166329999998
Marzahn-Hellersdorf,128.207206000002,28.8766779999999,/,20.7282079999999,25.6461779999999,48.2894589999995
Lichtenberg,144.921464999997,13.987138,11.244127,41.50006,29.41918,48.77096
Reinickendorf,119.470790000002,35.044375,19.209669,28.7188389999999,11.841552,24.6563549999999
