type,total,below_40sqm,between_40_and_60sqm,between_60_and_80sqm,between_80_and_100sqm,between_100_and_120sqm,more_than_120sqm
Insgesamt,1751.11906299981,139.270882,457.844608,547.097501999999,297.498612000002,141.689177,167.718282000002
bis 1918,413.278046000008,27.839896,97.6647649999999,105.722088,80.4758089999998,50.137347,51.4381410000001
1919 – 1948,285.102711000003,12.340591,92.4889109999996,85.5345479999996,40.6278009999999,22.053514,32.0573459999999
1949 – 1978,627.743125999999,64.211911,191.866898,229.467065999999,86.9679709999998,29.6325869999999,25.596693
1979 – 1990,224.629513000004,27.1512549999999,46.8522149999997,74.6107049999997,44.0226599999999,15.672195,16.320483
1991 – 2000,120.284988999999,/,17.02468,38.5145179999999,30.7442749999999,14.504254,16.307964
2001 und später,79.4197699999997,/,11.833393,13.029643,14.660096,9.58186900000001,25.891336
Zusammen,304.964698000009,/,17.836722,50.8735400000001,65.6156149999998,55.1996239999998,111.851914999999
bis 1918,52.1398190000001,/,/,7.214537,12.203304,8.13554,19.966895
1919 – 1948,61.2096779999998,–,/,10.73296,12.668516,10.711832,23.441555
1949 – 1978,88.4872829999999,/,8.379395,24.1913569999999,19.32206,13.845284,20.809993
1979 – 1990,31.352497,/,/,/,6.930908,7.487775,12.769419
1991 – 2000,33.3620959999999,–,/,/,7.875809,8.90228,13.188658
2001 und später,38.3059139999999,/,/,/,6.615018,6.009502,21.675395
Zusammen,1446.1543649999,135.6836,440.007885999999,496.223961999997,231.882997000001,86.4895529999999,55.866367
bis 1918,361.138227000005,26.8437,94.0414179999998,98.5075509999998,68.2725049999999,42.001807,31.471246
1919 – 1948,223.893033000001,12.340591,88.8340959999996,74.8015879999998,27.959285,11.341682,8.615791
1949 – 1978,539.255843000002,62.272717,183.487503,205.275708999999,67.645911,15.787303,/
1979 – 1990,193.277016000002,26.7183519999999,46.6348689999997,71.0965589999997,37.0917519999999,8.18442,/
1991 – 2000,86.9228929999996,/,16.040755,36.103094,22.868466,5.601974,/
2001 und später,41.1138559999999,/,10.855499,10.220527,8.045078,/,/
