type,apartments,below_6_euros,between_6_and_7_euros,between_7_and_8_euros,between_8_and_9_euros,between_9_and_10_euros,more_than_10_euros,average
Insgesamt,1390.48671099991,112.451655,181.414667000001,305.391627000001,276.412898000001,202.798285,312.017579000003,8.71192665891997
1 Wohnung,15.5745950000001,/,/,/,/,/,5.477961,8.51118190415347
2 Wohnungen,10.502788,/,/,/,/,/,/,7.60792346451199
3 –    6 Wohnungen,116.301517,9.46746200000001,12.983823,22.939313,24.30326,17.064396,29.543263,8.82826811191371
7 –  9 Wohnungen,260.172416000002,20.262242,35.332755,60.2243839999999,57.8978559999998,39.8922309999999,46.5629479999999,8.42498805525438
10 –  20 Wohnungen,628.515570000002,52.9547979999998,79.7607759999997,128.945367,124.645183,93.7371169999999,148.472329,8.72034170714676
21 und mehr Wohnungen,359.419824999998,22.676729,51.7466859999999,90.2189889999998,66.3921909999999,49.12784,79.25739,8.90823041931878
Privatperson(en),351.254553000005,35.410664,35.347679,53.7423819999999,59.606246,52.700118,114.447464,9.18406652128897
privatwirtschaftliches Unternehmen,511.479390000002,32.541485,52.3656969999999,102.313995,106.32863,85.576611,132.352972,9.05061375224948
öffentliche Einrichtung,127.782427,9.23556800000001,24.368519,40.1736189999999,26.583269,13.797913,13.623539,8.00136227648083
Wohnungs-/Baugenossenschaft,399.970340999996,35.2639379999999,69.3327719999998,109.161631,83.8947529999998,50.7236429999999,51.5936039999999,8.091192875864
unter  40,134.263281,/,5.209192,12.842844,25.204238,26.291945,60.3393439999999,10.6300704869759
40 –   60,431.758832,20.331583,46.2296329999999,104.083321,97.2466009999996,70.369418,93.4982759999997,8.82490039602552
60 –   80,476.580533999996,42.8806049999999,80.5669089999996,125.353442,89.7595359999998,59.6377009999999,78.3823409999998,8.26227346535101
80 – 100,218.287825,23.31474,33.2937699999999,44.8363769999999,43.0472599999999,30.7424249999999,43.0532529999999,8.40830579393507
100 – 120,78.8735499999998,12.083908,10.984257,12.070901,14.351892,9.200642,20.18195,8.3834419214793
120 und mehr,50.7226889999999,9.465101,5.130906,6.204742,6.803371,6.556154,16.562415,8.71523409687453
Zusammen,548.674894000007,60.9610249999999,71.6393259999999,104.016934,100.972961,78.2064649999999,132.878183,8.67328295042079
unter  40,38.0894879999999,/,/,/,5.57943,5.823125,19.841972,10.7266927436242
40 –   60,178.431351000001,10.936594,20.642278,35.687082,37.331137,30.830859,43.0034009999999,8.87203873259194
60 –   80,161.260676,19.069075,23.566109,33.326211,31.904101,22.478649,30.916531,8.43012108240817
80 – 100,87.3724029999997,13.466021,13.796076,18.654853,13.402454,9.775321,18.277678,8.2660542293462
100 – 120,47.7158579999999,9.213348,7.814123,8.264386,7.472824,/,10.499885,7.97196536343668
120 und mehr,35.805118,6.408139,/,/,5.283015,/,10.338716,8.52189060277707
Zusammen,841.258320000001,51.3832189999999,109.660843,201.263170000001,175.439937,124.478074,179.033077,8.73778112115861
unter  40,96.0592950000001,/,/,9.757513,19.624808,20.46882,40.497372,10.5965614207839
40 –   60,253.213735000002,9.394989,25.5873549999999,68.3962389999998,59.9154639999999,39.424813,50.4948749999999,8.7913852981476
60 –   80,315.100924,23.704119,57.0007999999998,91.9157079999999,57.8554349999998,37.159052,47.4658099999999,8.17820603916428
80 – 100,130.915422,9.848719,19.497694,26.181524,29.644806,20.967104,24.775575,8.50324389090459
100 – 120,31.157692,/,/,/,6.879068,/,9.682065,9.01358991234752
120 und mehr,14.811252,/,/,/,/,/,6.11738,9.16361693041841
