type,total,below_300_euros,between_300_and_400_euros,between_400_and_500_euros,between_500_and_600_euros,between_600_and_700_euros,between_700_and_800_euros,more_than_800_euros
Insgesamt,1390.48671099991,79.51886,242.761408000001,332.210806,257.113636000002,170.360755,108.132353,200.388893
1 Wohnung,15.5745950000001,/,/,/,/,/,/,9.77440100000001
2 Wohnungen,10.502788,/,/,/,/,/,/,/
3 –    6 Wohnungen,116.301517,/,17.00941,23.096593,20.272253,15.430674,11.681412,24.342665
7 –  12 Wohnungen,260.172416000002,9.770004,41.370785,72.1646529999998,53.7354319999998,31.208686,18.362033,33.5608229999999
13 –  20 Wohnungen,628.515570000002,29.028346,103.609064,143.525824000001,114.418298,80.6512899999997,56.7440099999999,100.538738
21 und mehr Wohnungen,359.419824999998,33.7186349999999,78.768993,90.8972169999997,66.9998839999999,40.6373049999999,19.241177,29.156614
Privatperson(en),351.254553000005,17.40091,47.31312,60.366942,57.8577769999999,44.6246229999999,34.7574189999999,88.9337619999998
privatwirtschaftliches Unternehmen,511.479390000002,27.109728,82.5561929999999,118.117523,97.070109,68.6931239999999,41.335512,76.5972009999998
öffentliche Einrichtung,127.782427,9.73461000000001,22.24099,39.0415109999999,26.8505359999999,14.521022,7.259848,8.13391
Wohnungs-/Baugenossenschaft,399.970340999996,25.2736119999999,90.6511049999997,114.68483,75.3352139999998,42.5219859999999,24.779574,26.72402
unter  40,134.263281,45.0679929999999,63.1303419999999,16.750323,/,/,/,/
40 –   60,431.758832,23.621394,138.369887,165.549781,65.1654789999999,23.440058,7.981402,7.630831
60 –   80,476.580533999996,7.051117,35.2296529999999,135.281401,146.398189,80.5177089999998,39.258288,32.844177
80 – 100,218.287825,/,/,11.675951,34.3190719999999,52.0130449999999,45.2433309999999,68.6857789999999
100 – 120,78.8735499999998,/,/,/,/,9.578709,11.415947,48.6597359999999
120 und mehr,50.7226889999999,/,/,/,/,/,/,41.808806
Zusammen,548.674894000007,27.852797,94.3936979999998,116.807132,97.5566879999997,69.8501349999999,42.7201589999999,99.4942849999997
unter  40,38.0894879999999,10.026833,17.722146,7.241428,/,/,/,/
40 –   60,178.431351000001,12.2402,55.875251,63.1550049999999,30.246335,10.476793,/,/
60 –   80,161.260676,/,15.752423,38.017126,46.548905,31.235305,12.80568,13.492124
80 – 100,87.3724029999997,/,/,5.990722,14.044358,19.646105,15.448945,27.623669
100 – 120,47.7158579999999,/,/,/,/,6.82925,7.71184400000001,26.0511869999999
120 und mehr,35.805118,/,/,/,/,/,/,29.725813
Zusammen,841.258320000001,51.4441539999999,148.36771,215.178405000002,159.556948,100.51062,65.4121939999999,100.788289
unter  40,96.0592950000001,34.9266619999999,45.408196,9.508895,/,/,/,/
40 –   60,253.213735000002,11.381194,82.4946359999997,102.28103,34.919144,12.963265,/,5.245669
60 –   80,315.100924,/,19.47723,97.1527519999998,99.8492839999999,49.2824039999999,26.452608,19.352053
80 – 100,130.915422,/,/,5.685229,20.274714,32.36694,29.794386,41.06211
100 – 120,31.157692,/,–,/,/,/,/,22.608549
120 und mehr,14.811252,/,/,/,/,/,/,11.976674
