type,apartments,collective_heating,district_heating,central_heating,floor_heating,single_or_more_space_ovens
Insgesamt,1751.1190629998,1725.6141819998,756.563411,711.090034999997,258.722989000002,29.48374
1 Wohnung,160.257212000003,155.745950000002,7.51877,101.933038999999,46.2941409999998,/
2 Wohnungen,31.0924120000001,30.2605080000001,/,20.589624,8.63100400000001,/
3 –    6 Wohnungen,148.094149,146.789499999999,36.095371,81.719723,28.9744059999999,/
7 –  9 Wohnungen,299.521675,292.760037,105.947353999999,126.780275,60.13977,7.421363
10 –  20 Wohnungen,721.754616999998,714.023316999999,325.862440000001,283.638865000002,105.176903,10.279702
21 und mehr Wohnungen,390.398997999999,386.034869999999,280.099596000002,96.4285090000001,9.506765,/
Zusammen,304.96469800001,298.155701000009,54.6543619999999,181.446518000002,62.0548209999998,7.136157
1 Wohnung,143.608507000001,139.741711000001,6.229838,91.7289939999994,41.7828789999998,/
2 Wohnungen,19.23778,18.71784,/,13.934392,/,/
3 –    6 Wohnungen,28.45473,28.131308,/,18.254095,/,/
7 –  9 Wohnungen,29.302403,28.311327,6.31997,18.490529,/,/
10 –  20 Wohnungen,63.5870279999999,62.9220879999999,29.2221419999999,26.619291,7.080655,/
21 und mehr Wohnungen,20.77425,20.331427,7.473179,12.419217,/,/
Zusammen,1446.15436499989,1427.4584809999,701.909048999997,529.643517000007,196.668168000001,22.347583
1 Wohnung,16.6487050000001,16.0042390000001,/,10.204045,/,/
2 Wohnungen,11.854632,11.542668,/,6.65523200000001,/,/
3 –    6 Wohnungen,119.639419,118.658192,31.1020899999999,63.465628,24.090474,/
7 –  9 Wohnungen,270.219272000001,264.448710000002,99.6273839999994,108.289746,56.638942,6.430287
10 –  20 Wohnungen,658.167588999999,651.101229,296.640298000001,257.019574000001,98.0962479999999,9.508443
21 und mehr Wohnungen,369.624747999997,365.703442999997,272.626417000002,84.009292,9.067734,/
