type,apartments,condominium,condominium_percentage,rented_apartments,rented_apartments_percentage
Bewohnte Wohnungen,1751.11906299981,304.964698000009,17.4154176288607,1446.1543649999,82.5845823711449
bis 1990 errichtet,1550.75339599986,233.189277000003,15.0371604925394,1317.56411899993,84.9628395074656
1991 und später errichtet,199.704759000003,71.6680099999997,35.8869815415858,128.036748999999,64.1130184584121
mit Sammelheizung²,1725.61418199982,298.155701000009,17.2782365902021,1427.4584809999,82.7217634098034
Fernheizung,756.563410999996,54.654362,7.22402923606363,701.909048999995,92.7759707639363
Block-/Zentralheizung,711.090034999996,181.446518000002,25.5166728640773,529.643517000006,74.4833271359243
Etagenheizung,258.722989000003,62.0548209999998,23.9850433236913,196.668168000001,76.014956676308
mit Einzel- oder Mehrraumöfen,29.48374,7.136157,24.2037034650285,22.347583,75.7962965349715
unter  40,139.270882,/,/,135.6836,97.4242411992479
40 –   60,457.844608,17.836722,3.89580256889254,440.007885999999,96.1041974311073
60 –   80,547.097501999999,50.8735400000001,9.29880685143399,496.223961999997,90.7011931485657
80 – 100,297.498612000002,65.6156149999998,22.0557718097856,231.882997000001,77.9442281902139
100 – 120,141.689177,55.1996239999998,38.9582501421402,86.4895529999999,61.0417498578595
120 und mehr,167.718282000002,111.851914999999,66.6903534106069,55.866367,33.3096465893917
mit 1 Wohnung,160.257212000003,143.608507000001,89.6112600536182,16.6487050000001,10.3887399463805
bis 1990 errichtet,114.177892999999,102.255271999999,89.5578551269991,11.922621,10.442144873001
1991 und später errichtet,45.8644969999998,41.2458239999998,89.9297423887588,/,/
mit Sammelheizung²,155.745950000002,139.741711000001,89.7241379310334,16.0042390000001,10.2758620689654
Fernheizung,7.51877,6.229838,82.8571428571429,/,/
Block-/Zentralheizung,101.933038999999,91.7289939999994,89.9894625922023,10.204045,10.0105374077978
Etagenheizung,46.2941409999998,41.7828789999998,90.2552204176335,/,/
mit Einzel- oder Mehrraumöfen,/,/,/,/,/
unter  40,–,–,–,–,–
40 –   60,/,/,/,/,/
60 –   80,9.022524,6.981715,77.3809523809523,/,/
80 – 100,29.4306139999999,26.208284,89.051094890511,/,/
100 – 120,37.8086719999999,33.5122319999999,88.6363636363637,/,/
120 und mehr,81.9545929999995,75.4025219999995,92.0052424639581,6.552071,7.99475753604199
mit 2 Wohnungen,31.0924120000001,19.23778,61.8729096989964,11.854632,38.1270903010032
bis 1990 errichtet,24.95712,15.07826,60.4166666666664,9.87886,39.5833333333332
1991 und später errichtet,6.13529200000001,/,/,/,/
mit Sammelheizung²,30.2605080000001,18.71784,61.8556701030925,11.542668,38.144329896907
Fernheizung,/,/,/,/,/
Block-/Zentralheizung,20.589624,13.934392,67.6767676767675,6.65523200000001,32.3232323232324
Etagenheizung,8.63100400000001,/,/,/,/
mit Einzel- oder Mehrraumöfen,/,/,/,/,/
unter  40,/,–,–,/,/
40 –   60,/,/,/,/,/
60 –   80,5.61535200000001,/,/,/,/
80 – 100,8.00707600000001,/,/,/,/
100 – 120,5.92731600000001,/,/,/,/
120 und mehr,9.462908,7.27916000000001,76.923076923077,/,/
mit 3 – 9 Wohnungen,447.615824,57.7571330000001,12.903282212829,389.858690999999,87.0967177871708
bis 1990 errichtet,415.155238000001,48.9914930000001,11.8007647539304,366.163745,88.1992352460694
1991 und später errichtet,32.3460879999999,8.76564,27.0995367353234,23.580448,72.9004632646768
mit Sammelheizung²,439.549537,56.4426350000001,12.8410179624419,383.106901999999,87.1589820375579
Fernheizung,142.042724999999,11.313251,7.96468175332462,130.729473999999,92.0353182466752
Block-/Zentralheizung,208.499998,36.744624,17.6233210323581,171.755374,82.3766789676421
Etagenheizung,89.1141759999998,8.38476,9.40900805725906,80.7294159999998,90.590991942741
mit Einzel- oder Mehrraumöfen,9.056507,/,/,7.628579,84.2331265243875
unter  40,19.44653,/,/,18.795273,96.6510374858651
40 –   60,135.265766,5.391194,3.98563077667413,129.874572,96.0143692233257
60 –   80,156.598611,17.126773,10.9367336597896,139.471838,89.0632663402102
80 – 100,71.7728009999999,13.912079,19.3834973780667,57.8607219999999,80.6165026219334
100 – 120,33.135621,7.840706,23.6624688579097,25.294915,76.3375311420902
120 und mehr,31.396495,12.835124,40.8807543644602,18.561371,59.11924563554
mit 10 und mehr Wohnungen,1112.15361499997,84.3612779999998,7.58539799378362,1027.79233699999,92.4146020062184
bis 1990 errichtet,996.463144999994,66.864252,6.71015805607145,929.598892999996,93.2898419439288
1991 und später errichtet,115.358881999999,17.497026,15.1674718900276,97.8618559999993,84.8325281099725
mit Sammelheizung²,1100.05818699997,83.2535149999998,7.56810103173223,1016.804672,92.4318989682698
Fernheizung,605.962035999996,36.6953209999999,6.05571286977459,569.266714999994,93.9442871302251
Block-/Zentralheizung,380.067374000003,39.038508,10.271470447237,341.028866000002,89.7285295527628
Etagenheizung,114.683668,7.519686,6.55689352384509,107.163982,93.4431064761549
mit Einzel- oder Mehrraumöfen,15.080644,/,/,13.866562,91.9494021608096
unter  40,119.720364,/,/,116.784339,97.547597666843
40 –   60,318.562261000001,10.10987,3.1735931206239,308.452391000001,96.8264068793762
60 –   80,375.861014999999,24.6852919999999,6.56766491198881,351.175723,93.4323350880113
80 – 100,188.288121,20.815792,11.0552869131876,167.472329,88.9447130868121
100 – 120,64.8175679999999,9.47919,14.6244147882871,55.3383779999999,85.3755852117129
120 und mehr,44.904286,16.335109,36.3776166043482,28.569177,63.6223833956518
