district_name,apartments,percentage_of_household_net_income_below_15%,percentage_of_household_net_income_between_15_and_25%,percentage_of_household_net_income_between_25_and_35%,percentage_of_household_net_income_between_35_and_45%,percentage_of_household_net_income_above_45%,percentage_of_household_net_income_average
Mitte,162.579107,9.60309125083337,33.0930898765486,29.6805720553011,16.4387850894027,11.1844617279144,28.726092750651
Friedrichshain-Kreuzberg,116.053566,11.1840277273341,34.2068825356043,25.6003749165278,15.5348160520979,13.473898768436,28.5963234942733
Pankow,156.923679,13.003455648016,41.4235668028151,28.6335722475638,11.7268153010866,5.21259000051867,25.2708795464832
Charlottenburg-Wilmersdorf,138.777075,9.71937548042427,31.8074602739681,28.3201314049889,16.75710127195,13.3959315686687,29.5654759476664
Spandau,92.239849,7.38285467054483,29.8509161696481,31.452554741281,18.6798788016229,12.6337956169031,29.9302695085722
Steglitz-Zehlendorf,101.045002,9.50592687404764,30.3718940992251,30.0053900736227,19.5195710917002,10.5972178614039,29.2367931864656
Tempelhof-Schöneberg,136.375846,10.1876471585738,33.7390948247536,27.0589126171213,16.6554097856888,12.3589356138623,28.8086823160753
Neukölln,119.816112,8.15742126568087,29.4747863292376,28.5507361480733,20.0042236389711,13.8128326180372,30.4404474082751
Treptow-Köpenick,105.834152,11.207383227297,36.9313565246878,31.2318985652193,13.1857871360844,7.44357454671154,26.712521200151
Marzahn-Hellersdorf,91.8753620000001,11.4550209881078,41.6639316207537,26.7887096869343,14.9412570477817,/,25.6640791358188
Lichtenberg,129.008154,10.5115727801206,40.0197013903479,27.4298747038889,13.4876327274631,8.55121839817971,26.709096139768
Reinickendorf,84.2861740000001,8.03111077268734,30.9803645850623,29.7993998398836,18.400894552409,12.7882302499577,29.7956008419601
