feature,households,constructed_before_1918,constructed_between_1919_and_1948,constructed_between_1949_and_1978,constructed_between_1979_and_1990,constructed_between_1990_and_2000,constructed_after_2021
Insgesamt,1887,395,304,627,262,132,166
Zugang zur Wohnung schwellenlos,345,12,13,107,50,51,112
ausreichende Breite der Haustür,1604,350,233,532,219,117,154
ausreichende Breite der Flure,1480,308,216,495,199,110,152
keines der aufgeführten Merkmale,190,24,52,63,33,11,/
alle aufgeführten Merkmale,307,/,/,92,42,47,105
keine Schwellen / Bodenunebenheiten,375,47,39,138,45,35,71
alle Räume stufenlos erreichbar,931,168,109,331,132,77,115
ausreichende Breite der Wohnungstür,1458,323,222,470,188,107,149
ausreichende Breite der Raumtüren,1166,240,177,374,152,91,133
ausreichende Breite der Flure,1246,267,189,405,164,90,131
genügend Raum entlang der Küchenzeile,1198,263,198,362,155,91,131
genügend Raum im Bad / Sanitärbereich,939,190,142,291,119,79,118
Einstieg zur Dusche ebenerdig,204,28,29,42,15,13,77
keines der aufgeführten Merkmale,219,32,47,82,43,11,/
alle aufgeführten Merkmale,73,/,/,15,/,/,38
Zusammen,301,48,62,80,25,33,54
Zugang zur Wohnung schwellenlos,55,/,/,/,/,/,28
ausreichende Breite der Haustür,252,42,47,66,21,27,48
ausreichende Breite der Flure,223,39,40,57,19,23,45
keines der aufgeführten Merkmale,38,/,12,10,/,/,/
alle aufgeführten Merkmale,48,/,/,/,/,/,26
keine Schwellen / Bodenunebenheiten,57,/,/,13,/,/,17
alle Räume stufenlos erreichbar,109,20,16,30,/,10,26
ausreichende Breite der Wohnungstür,234,39,45,57,19,26,47
ausreichende Breite der Raumtüren,184,30,36,44,15,20,38
ausreichende Breite der Flure,204,36,38,52,16,21,42
genügend Raum entlang der Küchenzeile,214,36,43,51,17,24,42
genügend Raum im Bad / Sanitärbereich,181,30,36,43,14,21,37
Einstieg zur Dusche ebenerdig,70,/,14,11,/,/,26
keines der aufgeführten Merkmale,28,/,/,9,/,/,/
alle aufgeführten Merkmale,14,/,/,/,/,/,/
Zusammen,1586,347,242,547,238,99,112
Zugang zur Wohnung schwellenlos,289,/,/,99,45,45,84
ausreichende Breite der Haustür,1352,307,186,466,198,90,105
ausreichende Breite der Flure,1256,270,176,437,179,87,107
keines der aufgeführten Merkmale,152,21,40,53,30,/,/
alle aufgeführten Merkmale,260,/,/,86,38,42,79
keine Schwellen / Bodenunebenheiten,318,41,30,124,40,28,54
alle Räume stufenlos erreichbar,822,147,93,301,124,67,89
ausreichende Breite der Wohnungstür,1224,284,176,412,169,81,102
ausreichende Breite der Raumtüren,983,210,141,329,137,71,95
ausreichende Breite der Flure,1042,232,151,353,148,69,89
genügend Raum entlang der Küchenzeile,984,226,155,311,137,66,88
genügend Raum im Bad / Sanitärbereich,758,160,107,248,106,58,81
Einstieg zur Dusche ebenerdig,133,19,15,31,/,/,51
keines der aufgeführten Merkmale,192,28,41,72,41,/,/
alle aufgeführten Merkmale,58,/,/,13,/,/,29
