district_name,total,inhabited_by_owner,rented_out_owner_is_private_person,rented_out_owner_is_private_organization,rented_out_owner_is_public_institution,rented_out_owner_is_housing_cooperative
Mitte,195.0,17,58,66.0,20,34.0
Friedrichshain-Kreuzberg,141.0,13,50,55.0,/,13.0
Pankow,206.0,29,67,58.0,10,42.0
Charlottenburg-Wilmersdorf,173.0,31,73,37.0,/,25.0
Spandau,124.0,22,24,30.0,15,33.0
Steglitz-Zehlendorf,142.0,40,44,24.0,8,25.0
Tempelhof-Schöneberg,174.0,26,66,32.0,/,40.0
Neukölln,164.0,27,35,43.0,14,44.0
Treptow-Köpenick,148.0,32,34,27.0,14,41.0
Marzahn-Hellersdorf,142.0,23,/,22.0,11,80.0
Lichtenberg,153.0,/,15,33.0,28,68.0
Reinickendorf,127.0,32,30,22.0,/,34.0
