type,total,below_40sqm,between_40_and_60sqm,between_60_and_80sqm,between_80_and_100sqm,between_100_and_120sqm,more_than_120sqm
Insgesamt,1711.326302,142.287685,492.751463000001,589.749193000002,237.290520000001,117.364439,131.883002
bis 1918,353.776154000001,20.100923,78.9155610000002,96.8707090000003,71.2156820000002,37.422321,49.2509580000002
1919 – 1948,313.447891000001,11.931891,106.151573,103.041658,39.458182,23.38887,29.475717
1949 – 1978,756.904008000002,84.3303990000003,249.452507,291.979527000001,83.5030880000003,27.611534,20.026953
1979 – 1990,235.015813,24.425722,54.1800819999998,88.9243180000003,35.202459,18.442252,13.84098
1991 – 2000,36.767706,/,/,8.386542,7.070099,7.03620000000001,9.221962
2001 und später,15.41473,/,/,/,/,/,10.066432
Zusammen,255.400309,/,18.416817,49.686667,44.486586,53.46786,87.177805
bis 1918,43.515252,/,/,6.258384,8.54641799999999,7.904692,18.007659
1919 – 1948,61.154812,/,/,10.525257,11.546465,13.299517,22.695633
1949 – 1978,91.690296,/,11.573989,27.840024,17.643754,15.111923,17.7305
1979 – 1990,26.798037,/,/,/,/,8.510625,10.157859
1991 – 2000,17.973626,–,/,/,/,5.35063700000001,8.614429
2001 und später,14.268286,–,/,/,/,/,9.971725
Zusammen,1455.925993,140.123111,474.334646000001,540.062526000003,192.803934,63.896579,44.705197
bis 1918,310.260902000001,19.966542,76.2518430000001,90.6123250000003,62.6692640000001,29.517629,31.243299
1919 – 1948,252.293079000001,11.809484,103.18604,92.5164010000004,27.911717,10.089353,6.780084
1949 – 1978,665.213712000003,82.5402930000003,237.878518,264.139503000001,65.8593340000003,12.499611,/
1979 – 1990,208.217776,24.308042,53.5334289999998,85.4670400000003,31.2945170000001,9.931627,/
1991 – 2000,18.79408,/,/,6.923348,/,/,/
2001 und später,/,/,/,/,/,/,/
