type,total,condominium,condominium_percentage,rented_apartments,rented_apartments_percentage
Bewohnte Wohnungen,1711.32630200004,255.400308999999,14.9241152141185,1455.92599300004,85.0758847858815
bis 1990 errichtet,1659.14386600004,223.158396999999,13.4502137863428,1435.98546900004,86.5497862136572
1991 und später errichtet,52.1824359999999,32.2419119999999,61.786904697205,19.940524,38.213095302795
mit Sammelheizung²,1673.05117700004,249.630705999999,14.9206855971743,1423.42047100004,85.0793144028257
Fernheizung,715.955381000005,31.272387,4.36792401173388,684.682994000005,95.6320759882661
Block-/Zentralheizung,737.175174000001,184.844743,25.0747379346771,552.330431000001,74.9252620653229
Etagenheizung,221.242769000001,33.89929,15.3222137623851,187.343479000001,84.6777862376149
mit Einzel- oder Mehrraumöfen,38.275125,5.769603,15.0740278444551,32.505522,84.9259721555449
unter  40,142.287685000001,/,/,140.123111000001,98.4787341223522
40 –   60,492.751463000003,18.416817,3.7375468938993,474.334646000003,96.2624531061007
60 –   80,589.749192999999,49.686667,8.42505044343488,540.062525999999,91.5749495565651
80 – 100,237.290520000001,44.4865859999999,18.7477299978102,192.803934000001,81.2522700021898
100 – 120,117.364439,53.46786,45.5571214377806,63.8965790000002,54.4428785622194
120 und mehr,131.883002,87.1778049999999,66.1023814122763,44.705197,33.8976185877237
mit 1 Wohnung,149.151791,130.048615,87.1921242970525,19.103176,12.8078757029475
bis 1990 errichtet,120.463834,103.075492,85.5655083998074,17.388342,14.4344916001926
1991 und später errichtet,28.6879569999999,26.9731229999999,94.0224603655116,/,/
mit Sammelheizung²,143.389304,125.257451,87.3548078593087,18.131853,12.6451921406913
Fernheizung,5.293303,/,/,/,/
Block-/Zentralheizung,118.624971,108.058931,91.0929040395719,10.56604,8.9070959604281
Etagenheizung,19.784784,15.17434,76.6970213068791,/,/
mit Einzel- oder Mehrraumöfen,5.762487,/,/,/,/
unter  40,/,/,/,/,/
40 –   60,6.126434,/,/,/,/
60 –   80,13.547003,9.423748,69.5633417959677,/,/
80 – 100,23.710315,20.25104,85.4102528793903,/,/
100 – 120,39.9994129999999,35.4922429999999,88.731909640774,/,/
120 und mehr,64.7383979999999,62.6505049999999,96.7748769439738,/,/
mit 2 Wohnungen,30.657681,9.978082,32.5467604676296,20.679599,67.4532395323704
bis 1990 errichtet,28.652664,9.139751,31.8984335976578,19.512913,68.1015664023422
1991 und später errichtet,/,/,/,/,/
mit Sammelheizung²,29.533493,9.65251499999999,32.6832826716434,19.880978,67.3167173283566
Fernheizung,6.04499399999999,/,/,5.58382699999999,92.3710925105964
Block-/Zentralheizung,17.432409,7.54164300000001,43.2621962919755,9.890766,56.7378037080245
Etagenheizung,6.125034,/,/,/,/
mit Einzel- oder Mehrraumöfen,/,/,/,/,/
unter  40,/,/,/,/,/
40 –   60,5.325231,/,/,/,/
60 –   80,6.688879,/,/,5.835824,87.2466671919166
80 – 100,5.975537,/,/,/,/
100 – 120,/,/,/,/,/
120 und mehr,5.534975,/,/,/,/
mit 3 – 6 Wohnungen,279.101293000002,30.678889,10.9920268266188,248.422404000002,89.0079731733812
bis 1990 errichtet,270.580318000002,27.809597,10.2777604836727,242.770721000002,89.7222395163273
1991 und später errichtet,8.520975,/,/,5.651683,66.3267173064115
mit Sammelheizung²,274.010138000002,30.444965,11.1108899919607,243.565173000002,88.8891100080393
Fernheizung,109.350743000001,/,/,104.671518000001,95.7209024176452
Block-/Zentralheizung,123.743937,21.380466,17.2779907592563,102.363471,82.7220092407437
Etagenheizung,41.0463020000001,/,/,36.6610280000001,89.3162750690671
mit Einzel- oder Mehrraumöfen,5.091155,/,/,/,/
unter  40,20.772327,–,–,20.772327,100
40 –   60,82.4612560000004,/,/,79.3136930000004,96.1829795558777
60 –   80,106.524111,9.372359,8.79834519341819,97.1517520000004,91.2016548065818
80 – 100,42.723292,6.41152,15.007083255663,36.311772,84.9929167443371
100 – 120,12.708348,/,/,7.858425,61.8367155195939
120 und mehr,13.911959,6.897524,49.5798183419028,7.014435,50.4201816580972
mit 7 – 12 Wohnungen,1000.37267199995,67.3544760000001,6.7329384223726,933.018195999951,93.2670615776274
bis 1990 errichtet,991.779006999951,66.9709060000001,6.75260370781405,924.808100999951,93.247396292186
1991 und später errichtet,8.59366500000001,/,/,8.21009500000001,95.5365958528753
mit Sammelheizung²,976.068393999952,66.9355280000001,6.85766780396369,909.132865999952,93.1423321960363
Fernheizung,444.936311000003,18.534367,4.16562248164094,426.401944000003,95.8343775183591
Block-/Zentralheizung,386.175015000001,37.903668,9.81515285239258,348.271347000001,90.1848471476074
Etagenheizung,145.765673000001,10.641545,7.30044651870809,135.124128000001,92.6995534812919
mit Einzel- oder Mehrraumöfen,24.304278,/,/,23.88533,98.2762376236809
unter  40,64.6121650000001,/,/,63.6041470000001,98.4398944068814
40 –   60,325.616944000001,8.716734,2.67699029814614,316.900210000001,97.3230097018539
60 –   80,381.220610000001,24.060176,6.31135236890785,357.160434000001,93.6886476310922
80 – 100,135.873461000001,12.675345,9.32878643607961,123.198116000001,90.6712135639204
100 – 120,50.287707,8.711761,17.3238382096046,41.575946,82.6761617903954
120 und mehr,42.761785,12.182442,28.4890866927093,30.579343,71.5109133072907
mit 13 und mehr Wohnungen,252.042865000002,17.340247,6.87988013467466,234.702618000002,93.1201198653253
bis 1990 errichtet,247.668043000002,16.162651,6.5259331822636,231.505392000002,93.4740668177364
1991 und später errichtet,/,/,/,/,/
mit Sammelheizung²,250.049848000002,17.340247,6.9347160730927,232.709601000002,93.0652839269073
Fernheizung,150.330030000002,5.332683,3.54731719271255,144.997347000002,96.4526828072875
Block-/Zentralheizung,91.1988420000004,9.960035,10.9212296796487,81.2388070000004,89.0787703203513
Etagenheizung,8.520976,/,/,6.473447,75.9707221332392
mit Einzel- oder Mehrraumöfen,/,–,–,/,/
unter  40,53.707986,/,/,52.685811,98.0967914157124
40 –   60,73.2215980000001,/,/,69.6648980000001,95.1425534307514
60 –   80,81.7685900000002,5.977329,7.31005512018733,75.7912610000002,92.6899448798127
80 – 100,29.007915,/,/,25.792254,88.9145393593438
100 – 120,9.400891,/,/,7.537884,80.1826550270607
120 und mehr,/,/,/,/,/
