household_structure,households,gross_rent_per_sqm_below_6_euros,gross_rent_per_sqm_between_6_and_7_euros,gross_rent_per_sqm_between_7_and_8_euros,gross_rent_per_sqm_between_8_and_9_euros,gross_rent_per_sqm_between_9_and_10_euros,gross_rent_per_sqm_more_than_10_euros,gross_rent_per_sqm_average
Hauptmieterhaushalte,1432.423218,128.168888,334.277738999999,480.764959999999,264.155475,112.60942,112.446736,7.67513162553489
mit 1 Person,768.492245000007,66.940427,159.97455,256.98543,149.144742,63.8424580000001,71.604638,7.76494870301721
darunter weiblich,392.826294,34.569126,88.9376339999999,131.367129,74.358418,32.91818,30.675807,7.69356863164137
mit 2 Personen,408.289422,37.868792,114.115567,135.967554,66.4198170000001,27.59148,26.326212,7.54220031254526
mit 3 Personen,139.641846,13.327295,34.404242,49.37669,23.412084,11.898061,7.223474,7.55622390939134
mit 4 Personen,81.63222,7.374781,20.324536,26.519818,17.061829,5.463294,/,7.61802692828408
mit 5 und mehr Personen,34.367485,/,5.458844,11.915468,8.117003,/,/,7.86475264748254
mit Kindern unter 18 Jahren,259.652051,21.952244,60.038044,90.283058,48.693626,22.253736,16.431343,7.66362133459157
mit 1 Kind,150.160708,12.659901,35.003722,52.375438,27.087958,13.237293,9.796396,7.67490240215361
mit 2 Kindern,81.9919910000001,7.396089,19.290854,28.279013,16.022105,6.044157,/,7.60311613959336
mit 3 Kindern,19.393877,/,/,7.35084,/,/,/,7.72479534924238
mit 4 und mehr Kindern,8.105475,/,/,/,/,/,/,7.92030795639944
ohne Kinder unter 18 Jahren,1172.77116700001,106.216644,274.239695,390.481901999999,215.461849,90.355684,96.015393,7.67768000900061
unter 700,27.242064,/,/,8.323265,5.167821,/,/,7.59272285209438
700  –     900,160.961067,14.544504,31.41147,52.482772,33.010293,14.784404,14.727624,7.77989991696676
900  –  1 100,131.728542,12.988124,27.388664,42.3256100000001,26.320613,11.319784,11.385747,7.73470539682417
1 100  –  1 300,140.542873,12.258865,36.494985,47.015489,26.247965,9.396366,9.129203,7.56579954190156
1 300  –  1 500,137.024835,11.620369,35.228513,47.519593,26.488203,8.866001,7.302156,7.5555106309868
1 500  –  2 000,275.815078,23.019407,68.852638,97.447963,50.397887,19.625739,16.471444,7.59144977319887
2 000  –  3 200,357.195418,30.906298,91.1701190000001,120.654867,62.793211,26.758764,24.912159,7.61299231812431
3 200  –  4 500,130.945071,12.925838,27.680913,43.819503,22.756463,10.217476,13.544878,7.75665411391795
4 500  –  6 000,47.666163,/,8.322556,13.952451,6.835278,6.341765,7.556008,8.18102289183566
6 000  –  7 500,13.113084,/,/,/,/,/,/,8.32867015140745
7 500 und mehr,10.054741,/,/,/,/,/,/,8.79874417279977
1 Einkommensbezieher,852.120341000009,74.546938,179.354062,287.237920999999,164.893424,69.079412,77.008584,7.75054721251863
2 und mehr Einkommensbezieher,580.168594999998,53.62195,154.923677,193.392757,99.2620510000001,43.530008,35.438152,7.5645188800387
Erwerbspersonen,954.030783000006,77.3518,203.870501,321.768599,184.593573,82.9747520000002,83.471558,7.77217939386793
Erwerbstätige,860.829116000006,69.960245,183.39916,291.718472,165.961074,73.6054130000001,76.184752,7.77330390392826
Selbstständige,128.947007,12.347811,23.526713,41.47481,25.973885,12.001605,13.622183,7.87139738306333
Beamte,38.081162,/,8.580508,12.377946,6.770993,/,/,7.83460791303842
Angestellte,580.998598,46.2712910000001,125.088022,197.635092,109.57184,49.744127,52.688226,7.77681562104274
Arbeiter,99.829159,8.252705,24.738096,35.568652,20.241515,5.865378,5.162813,7.55375672658412
Erwerbslose,93.2016669999999,7.391555,20.471341,30.050127,18.632499,9.369339,7.286806,7.76179319550561
Nichterwerbspersonen,478.392434999999,50.817088,130.407238,158.996361,79.561902,29.634668,28.975178,7.48159478916924
darunter Rentner,361.362555,41.369531,106.218518,123.596184,54.141875,18.272575,17.763872,7.36399731704199
unter 25,64.914499,/,9.177566,22.363645,14.502402,7.132348,8.598667,8.15510074117564
25 – 30,132.480821,6.608353,22.644133,43.299567,27.658578,15.680115,16.590075,8.11645287737288
30 – 40,287.068712,19.639721,55.49904,92.4674619999999,59.667619,30.411665,29.383205,7.9187859429742
40 – 50,269.143161999999,22.318753,60.7723789999999,94.5939540000001,53.966178,18.277404,19.214494,7.66345844616601
50 – 60,250.049861,26.702696,62.281973,82.2546530000001,45.21218,16.828799,16.76956,7.54963225082563
60 – 65,96.716462,9.728975,23.714566,34.319114,15.912468,7.248327,5.793012,7.55133983905429
65 und mehr,332.049701,40.030519,100.188082,111.466565,47.23605,17.030762,16.097723,7.33459969322206
