type,apartments,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
Mitte,168.236686000003,1145.61421010002,68.0953861692211,1.90709843749538,35.7062775735121
Eigentümerwohnungen,8.78290699999999,75.8027933999999,86.3071798437579,1.80834500467784,47.7271646840056
Mietwohnungen,159.453779000003,1069.81141670002,67.0922585472245,1.91253789601312,35.0802243903691
Friedrichshain-Kreuzberg,132.78086,887.039818500003,66.8047953974692,1.87533002120938,35.6229541690947
Eigentümerwohnungen,5.507763,46.8623538000001,85.0841871736311,1.65782187795662,51.3228763023101
Mietwohnungen,127.273097000001,840.177464700003,66.0137518850507,1.8847427198224,35.0253385731455
Pankow,195.638283000003,1355.98813830002,69.3109813430533,1.76568958642926,39.2543411230172
Eigentümerwohnungen,22.097898,253.5269265,114.728978520943,2.52573511743063,45.4239946735407
Mietwohnungen,173.540385000003,1102.46121180002,63.5276458445105,1.66890860591326,38.0653833405976
Charlottenburg-Wilmersdorf,160.384340999998,1194.13314809998,74.4544723415361,1.68845351305213,44.0962524380957
Eigentümerwohnungen,25.3481520000001,254.917981800001,100.566692909211,1.91209169804568,52.5951203135282
Mietwohnungen,135.036188999998,939.215166299986,69.5528489996115,1.64647354643576,42.2435265663256
Spandau,105.196988000001,726.14085620001,69.0267725345902,1.72405862038559,40.0373697961337
Eigentümerwohnungen,22.02796,219.7289148,99.7500062647654,1.9685330825006,50.6722529336688
Mietwohnungen,83.1690280000008,506.411941400005,60.8894865766617,1.65930766919628,36.6957181642841
Steglitz-Zehlendorf,139.322374,1146.9246734,82.3216429975561,1.82839398071124,45.0240177259461
Eigentümerwohnungen,42.4459780000001,478.824188400002,112.807905710171,1.97599654789436,57.0891208440522
Mietwohnungen,96.8763960000004,668.100485000003,68.9642175582172,1.76372254806011,39.1015115353999
Tempelhof-Schöneberg,162.932503999998,1239.23661589999,76.0582809124446,1.86386960578474,40.806653360508
Eigentümerwohnungen,31.5295559999999,312.471514299999,99.1043179612171,1.94827703885206,50.8676722996286
Mietwohnungen,131.402947999999,926.765101599992,70.5284862863199,1.84361641566824,38.2555100328482
Neukölln,145.314333000003,1016.32766140002,69.9399460753812,1.94719076335024,35.9183842650558
Eigentümerwohnungen,18.1423079999999,190.101331899999,104.78343323242,2.24175556935755,46.7416852509256
Mietwohnungen,127.172025000002,826.226329500008,64.9691887425712,1.90516827108792,34.1015487862767
Treptow-Köpenick,123.153405,871.873785600003,70.7957514938381,1.80159985832304,39.2960463261449
Eigentümerwohnungen,23.3671700000001,251.497909600001,107.628741349509,2.40078464786279,44.8306521142249
Mietwohnungen,99.7862350000006,620.375876000004,62.1704863401249,1.66128739099135,37.4230772335095
Marzahn-Hellersdorf,121.461804000001,861.66733420001,70.9414240381281,1.86654882879889,38.0067335735216
Eigentümerwohnungen,20.553798,227.941734599999,110.900055843694,2.25182148817459,49.2490441298672
Mietwohnungen,100.908006000001,633.725599600004,62.8023112061099,1.78807322780712,35.1228966629797
Lichtenberg,137.651735000004,881.377003600027,64.0294874307251,1.76658112591171,36.2448610434917
Eigentümerwohnungen,6.335799,60.8033447000001,95.967919279005,2.09881784444235,45.7247490691615
Mietwohnungen,131.315936000004,820.573658900025,62.4885055002007,1.75055119738095,35.6964741126633
Reinickendorf,119.252988999999,927.429391799989,77.7699074528018,1.89690732196239,40.99826414943
Eigentümerwohnungen,29.2610199999999,338.963715599999,115.8413874841,2.14117252235226,54.1018466633592
Mietwohnungen,89.9919689999997,588.465676199996,65.3909101822184,1.81748413572327,35.9788065804471
Land Berlin,1711.32630200005,12253.7526371004,71.6038351235487,1.8271231128428,39.1893871957763
Eigentümerwohnungen,255.400309,2711.44270939999,106.164425564575,2.1024377656489,50.4958706978936
Mietwohnungen,1455.92599300002,9542.30992770017,65.541174301296,1.77882708149438,36.8451633006595
