type,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage
Mitte,181.449528000001,8.78290699999999,4.8404132525492,159.453779000001,87.877759042724
bis 1948,79.0748329999998,/,/,66.5411509999998,84.1495940939894
1949 und später,102.374695000001,5.051228,4.93405914420547,92.9126280000008,90.7574161759408
Friedrichshain-Kreuzberg,142.790414000001,5.507763,3.85723582256717,127.273097000001,89.1328020100846
bis 1948,68.2868260000003,/,/,57.1125970000003,83.6363327239723
1949 und später,74.5035880000004,/,/,70.1605000000004,94.1706324264544
Pankow,204.508611,22.097898,10.8053631052239,173.540385000001,84.8572508274481
bis 1948,125.680140000001,10.040643,7.98904504721265,109.653219000001,87.2478491828543
1949 und später,78.8284709999996,12.057255,15.2955586313478,63.8871659999996,81.0458013323637
Charlottenburg-Wilmersdorf,175.064810999999,25.3481519999999,14.4792958991628,135.036188999999,77.134969745576
bis 1948,79.1756699999998,12.622965,15.9429847578176,57.5417339999999,72.6760304017636
1949 und später,95.8891409999993,12.725187,13.2707279127676,77.4944549999993,80.8167162536162
Spandau,115.883202,22.02796,19.008760217033,83.1690280000003,71.769701358442
bis 1948,32.9049499999999,5.368586,16.3154358234855,24.2329279999999,73.6452357472052
1949 und später,82.9782520000003,16.659374,20.0767955439697,58.9361000000003,71.0259599105559
Steglitz-Zehlendorf,150.172252,42.445978,28.264860807974,96.8763960000004,64.5101839453005
bis 1948,57.4637260000001,19.28687,33.5635562511209,33.7641900000001,58.7573976668343
1949 und später,92.7085260000003,23.159108,24.9805589617506,63.1122060000003,68.0759458952029
Tempelhof-Schöneberg,176.301712000001,31.5295559999999,17.8838626365691,131.402948000001,74.5329960267206
bis 1948,77.1450760000007,12.446014,16.1332578115548,59.5105640000007,77.1411048969609
1949 und später,99.1566360000005,19.083542,19.2458546092668,71.8923840000005,72.5038554151839
Neukölln,159.087467000001,18.142308,11.4039831937231,127.172025000001,79.9384309764642
bis 1948,62.1076430000003,/,/,49.6823310000003,79.993908318176
1949 und später,96.979824000001,13.844953,14.2761168549861,77.489694000001,79.9029022779008
Treptow-Köpenick,130.877275000001,23.36717,17.8542607950845,99.7862350000005,76.2441264153766
bis 1948,59.6672020000002,11.285682,18.9143811368932,44.5143540000002,74.6043932142152
1949 und später,71.2100730000003,12.081488,16.9659817649674,55.2718810000003,77.6180653543215
Marzahn-Hellersdorf,127.032390000001,20.553798,16.1799663849511,100.908006000001,79.4348638170156
bis 1948,8.67539000000001,6.81211600000001,78.5223027437383,1.224232,/
1949 und später,118.357000000001,13.741682,11.6103669406963,99.6837740000005,84.2229644212003
Lichtenberg,144.216197000002,6.335799,4.39326450967217,131.315936000002,91.054915281118
bis 1948,33.238658,/,/,28.367785,85.3457591458717
1949 und später,110.977539000002,/,/,102.948151000002,92.7648530753598
Reinickendorf,127.169096,29.26102,23.0095368453354,89.9919690000005,70.7655962263034
bis 1948,45.740746,12.188367,26.6466292438694,30.4088959999999,66.4809795625108
1949 und später,81.4283500000005,17.072653,20.9664729790054,59.5830730000005,73.1723938898432
Land Berlin,1834.55295499995,255.400309,13.921664583403,1455.92599299995,79.36135007888
bis 1948,729.160860000003,104.670064,14.3548659482353,562.553981000003,77.1508746369081
1949 und später,1105.39209499994,150.730245000001,13.6359076278728,893.372011999943,80.8194681363257
