household_structure,households,percentage_of_household_net_income_below_15%,percentage_of_household_net_income_between_15_and_20%,percentage_of_household_net_income_between_20_and_25%,percentage_of_household_net_income_between_25_and_30%,percentage_of_household_net_income_between_30_and_35%,percentage_of_household_net_income_between_35_and_40%,percentage_of_household_net_income_between_40_and_45%,percentage_of_household_net_income_above_45%,percentage_of_household_net_income_average
Hauptmieterhaushalte,1398.333964,8.78798600074625,14.8698164639588,16.6321695666115,16.1202583076213,13.6801748312537,10.7120587682443,8.75059943834704,10.4469366232171,28.9711056270961
mit 1 Person,768.492245000007,4.52186423820057,9.1052190123271,13.8595857919164,16.3355975049558,14.879788019201,13.2865719419197,12.2098407121856,15.8015327792929,32.6074786857479
darunter weiblich,392.826294,2.84775259977887,7.72728543471684,13.6218435011379,17.2293922361521,16.5182646862228,13.5073819676643,12.2458421787824,16.3022373955446,33.3253235207315
mit 2 Personen,390.311952999999,14.3956964597495,23.6054946029286,19.9016090598692,14.3572456772801,11.1044882604454,7.39326217867585,4.99456751200239,4.24763624904924,24.3814067846392
mit 3 Personen,132.84205,14.6779487368646,19.9950392213911,18.4927724316209,17.1878595670573,14.1410712948197,7.3915270051915,4.68545915995726,/,24.6418931053834
mit 4 Personen,74.914129,13.1214620408922,20.1551819417136,22.26400977044,18.1850208790387,12.5113167904549,8.25375944770045,/,/,24.2723946640293
mit 5 und mehr Personen,31.773587,/,/,22.4715201340031,23.2373700835225,17.1347855689067,/,/,/,26.5789025960462
mit Kindern unter 18 Jahren,245.946604,9.00891520339919,15.962748564725,18.7387076098843,19.1833512773366,16.5504358824162,9.79886471618042,5.74549628666554,5.01148045939272,26.8651060089449
ohne Kinder unter 18 Jahren,1152.38736000001,8.74083450550858,14.6365590125874,16.1825847343551,15.4665221249909,13.0675935216782,10.9069558867774,9.39195922801505,11.6069909860864,29.4205755467501
unter 700,27.098588,/,–,–,/,/,/,29.9517782992974,51.7816168133927,46.8183587277684
700  –     900,160.376399,/,/,/,3.18379950655957,11.5946991676749,19.3430100647166,26.4581455030675,38.2249092648602,43.0511739012172
900  –  1 100,131.233804,/,/,/,11.2150448675556,17.9984312578488,21.714249782777,20.5005807802386,24.8449896339209,39.0072568345272
1 100  –  1 300,139.743777,/,/,7.80489924785702,18.4124585383147,25.6459198179537,20.8491344841781,12.9377517826787,10.8367752218405,34.2458875932629
1 300  –  1 500,136.172491,/,4.80331376180819,12.602344918549,23.9984410654572,25.3587437127812,16.6490844321854,8.42012796843089,7.42733787545975,31.6987822452334
